x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state,trial
5,0,0.9,0.1,5,4,0.6,0.4,21,12,4
7,0,0.8,0.2,7,5,0.6,0.4,12,0,4
5,2,0.9,0.1,5,4,0.6,0.4,20,11,4
7,0,0.9,0.1,7,5,0.6,0.4,24,12,4
5,1,0.9,0.1,5,4,0.6,0.4,21,12,4
5,1,0.9,0.1,5,4,0.6,0.4,20,11,4
9,0,0.2,0.8,2,1,0.9,0.1,8,0,2
10,5,0.2,0.8,7,1,0.9,0.1,42,30,4
10,5,0.2,0.8,6,0,0.9,0.1,41,30,4
10,6,0.2,0.8,7,2,0.9,0.1,43,30,4
9,0,0.3,0.7,3,0,0.9,0.1,9,0,3
8,0,0.2,0.8,2,0,0.8,0.2,6,0,3
10,1,0.2,0.8,4,3,0.8,0.2,22,5,3
10,0,0.2,0.8,3,2,0.9,0.1,20,6,3
9,2,0.3,0.7,3,0,0.8,0.2,21,15,4
9,2,0.1,0.9,3,0,0.5,0.5,17,11,4
5,1,0.2,0.8,3,0,0.6,0.4,9,4,4
5,1,0.1,0.9,2,0,0.7,0.3,4,0,4
10,0,0.4,0.6,6,1,0.7,0.3,10,0,4
9,1,0.5,0.5,6,2,0.8,0.2,20,10,4
10,0,0.5,0.5,5,1,0.9,0.1,13,3,4
10,0,0.7,0.3,7,3,0.9,0.1,37,17,3
10,1,0.4,0.6,5,3,0.8,0.2,13,3,4
6,0,0.6,0.4,4,2,0.8,0.2,12,0,3
9,2,0.2,0.8,5,0,0.7,0.3,7,0,4
8,1,0.1,0.9,3,0,0.6,0.4,5,0,3
10,4,0.2,0.8,5,0,0.9,0.1,25,5,2
10,5,0.2,0.8,6,0,0.9,0.1,30,6,2
9,1,0.1,0.9,3,0,0.6,0.4,5,1,4
9,1,0.1,0.9,3,0,0.6,0.4,5,0,3
10,1,0.1,0.9,9,3,0.8,0.2,41,3,2
10,0,0.1,0.9,8,7,0.8,0.2,35,0,2
10,0,0.6,0.4,6,5,0.9,0.1,27,6,3
10,0,0.7,0.3,7,5,0.9,0.1,36,5,2
9,1,0.7,0.3,7,5,0.8,0.2,39,9,2
10,2,0.7,0.3,8,6,0.8,0.2,42,8,2
10,9,0.7,0.3,1,0,0.9,0.1,14,10,5
9,4,0.8,0.2,1,0,0.9,0.1,10,8,5
10,8,0.8,0.2,1,0,0.9,0.1,10,8,5
10,9,0.7,0.3,2,1,0.9,0.1,10,7,5
10,6,0.2,0.8,2,0,0.9,0.1,6,0,5
2,0,0.4,0.6,7,6,0.8,0.2,2,0,5
5,0,0.5,0.5,7,6,0.8,0.2,5,0,5
2,0,0.3,0.7,8,6,0.8,0.2,4,2,5
2,0,0.3,0.7,5,4,0.6,0.4,2,0,5
1,0,0.2,0.8,6,5,0.8,0.2,3,2,5
