x1HV,x2HV,p1HV,p2HV,x1LV,x2LV,p1LV,p2LV,budget,state,trial
5,1,0.2,0.8,5,4,0.7,0.3,24,6,3
10,0,0.1,0.9,9,2,0.8,0.2,45,20,3
5,2,0.1,0.9,5,4,0.7,0.3,25,0,1
7,4,0.6,0.4,6,4,0.9,0.1,30,11,3
7,4,0.6,0.4,6,4,0.9,0.1,30,12,4
7,4,0.6,0.4,6,4,0.9,0.1,30,16,4
7,4,0.6,0.4,6,4,0.9,0.1,30,17,4
7,4,0.6,0.4,6,4,0.9,0.1,30,19,5
7,4,0.6,0.4,6,4,0.9,0.1,30,20,5
7,4,0.6,0.4,6,4,0.9,0.1,30,21,4
7,4,0.6,0.4,6,4,0.9,0.1,30,22,5
7,4,0.6,0.4,6,4,0.9,0.1,30,24,5
7,4,0.6,0.4,6,4,0.9,0.1,30,28,5
5,1,0.2,0.8,3,0,0.6,0.4,15,0,4
5,1,0.2,0.8,3,0,0.6,0.4,15,1,3
5,1,0.2,0.8,3,0,0.6,0.4,15,3,3
5,1,0.2,0.8,3,0,0.6,0.4,15,4,5
5,1,0.2,0.8,3,0,0.6,0.4,15,4,4
5,1,0.2,0.8,3,0,0.6,0.4,15,6,3
5,1,0.2,0.8,3,0,0.6,0.4,15,8,4
5,1,0.2,0.8,3,0,0.6,0.4,15,9,4
5,1,0.2,0.8,3,0,0.6,0.4,15,11,5
5,1,0.2,0.8,3,0,0.6,0.4,15,13,4
4,1,0.2,0.8,2,0,0.8,0.2,10,0,4
4,1,0.2,0.8,2,0,0.8,0.2,10,2,3
4,1,0.2,0.8,2,0,0.8,0.2,10,3,3
4,1,0.2,0.8,2,0,0.8,0.2,10,4,3
4,1,0.2,0.8,2,0,0.8,0.2,10,8,3
4,1,0.2,0.8,2,0,0.8,0.2,10,9,4
4,1,0.2,0.8,2,0,0.8,0.2,10,10,5
4,1,0.2,0.8,2,0,0.8,0.2,10,10,4
4,1,0.2,0.8,2,0,0.8,0.2,10,12,4
4,1,0.2,0.8,2,0,0.8,0.2,10,13,5
5,1,0.7,0.3,4,1,0.7,0.3,20,2,3
5,1,0.7,0.3,4,1,0.7,0.3,20,4,5
5,1,0.7,0.3,4,1,0.7,0.3,20,7,5
5,1,0.7,0.3,4,1,0.7,0.3,20,7,4
5,1,0.7,0.3,4,1,0.7,0.3,20,10,5
5,1,0.7,0.3,4,1,0.7,0.3,20,10,4
5,1,0.7,0.3,4,1,0.7,0.3,20,11,5
5,1,0.7,0.3,4,1,0.7,0.3,20,14,5
5,1,0.7,0.3,4,1,0.7,0.3,20,15,4
5,1,0.7,0.3,4,1,0.7,0.3,20,17,5
6,2,0.5,0.5,5,1,0.7,0.3,25,3,4
6,2,0.5,0.5,5,1,0.7,0.3,25,4,4
6,2,0.5,0.5,5,1,0.7,0.3,25,5,5
6,2,0.5,0.5,5,1,0.7,0.3,25,6,4
6,2,0.5,0.5,5,1,0.7,0.3,25,6,3
6,2,0.5,0.5,5,1,0.7,0.3,25,9,5
6,2,0.5,0.5,5,1,0.7,0.3,25,10,3
6,2,0.5,0.5,5,1,0.7,0.3,25,14,4
6,2,0.5,0.5,5,1,0.7,0.3,25,15,4
6,2,0.5,0.5,5,1,0.7,0.3,25,18,5
7,4,0.5,0.5,6,4,0.7,0.3,30,13,3
7,4,0.5,0.5,6,4,0.7,0.3,30,14,3
7,4,0.5,0.5,6,4,0.7,0.3,30,15,4
7,4,0.5,0.5,6,4,0.7,0.3,30,17,4
7,4,0.5,0.5,6,4,0.7,0.3,30,18,5
7,4,0.5,0.5,6,4,0.7,0.3,30,21,5
7,4,0.5,0.5,6,4,0.7,0.3,30,22,5
7,4,0.5,0.5,6,4,0.7,0.3,30,24,5
7,4,0.5,0.5,6,4,0.7,0.3,30,25,5
7,4,0.5,0.5,6,4,0.7,0.3,30,26,5
